EVENT_ID,TIME_STAMP,TYPE_DESCRIPTION,ONSTREET,DIRECTION,LAT,LONG
436,2013-10-06:16:28,Accident-property damage,405,1,33.774246,-118.071496
436,2013-10-06:16:28,Accident-property damage,405,1,33.774159,-118.049783
12,2013-10-06:16:38,Accident-property damage,405,1,33.774159,-118.049783
531,2013-10-06:19:12,Accident-ambulance rolling,405,0,33.694961,-117.933725
531,2013-10-06:19:14,Accident-ambulance rolling,405,0,33.695823,-117.935142
597,2013-10-07:02:36,Accident-no details,405,0,33.761114,-118.024285
115081,2013-10-07:04:05,Accident,405,0,33.805311,-118.140097
98,2013-10-07:07:38,Accident-property damage,405,1,33.687203,-117.872209
98,2013-10-07:07:38,Accident-property damage,405,1,33.683601,-117.85935
17,2013-10-07:07:39,Accident-property damage,405,1,33.683601,-117.85935
106,2013-10-07:07:59,Hit and Run-no injuries,405,1,33.687296,-117.890487
25,2013-10-07:08:48,Accident-no details,405,1,33.731681,-117.989185
143,2013-10-07:08:49,Accident-no details,405,1,33.731681,-117.989185
364,2013-10-07:15:57,Accident-property damage,405,0,33.688905,-117.918184
59,2013-10-07:16:00,Accident-property damage,405,1,33.687884,-117.914545
62,2013-10-07:16:12,Accident-property damage,405,0,33.688905,-117.918184
387,2013-10-07:16:30,Accident-no details,405,1,33.668186,-117.819289
423,2013-10-07:17:15,Hit and Run-no injuries,405,1,33.774159,-118.049783
77,2013-10-07:17:19,Hit and Run-no injuries,405,1,33.774159,-118.049783
441,2013-10-07:17:51,Accident-property damage,405,0,33.687437,-117.872002
446,2013-10-07:17:59,Accident-ambulance rolling,405,0,33.774508,-118.074948
452,2013-10-07:18:03,Accident-property damage,405,0,33.707827,-117.954312
488,2013-10-07:19:08,Accident-no details,405,1,33.776551,-118.08881
93,2013-10-07:19:10,Accident-no details,405,1,33.776551,-118.08881
530,2013-10-07:21:14,Accident-no details,405,1,33.687142,-117.900636
548,2013-10-07:21:46,Accident-no details,405,0,33.730942,-117.986308
573,2013-10-07:23:45,Accident-no details,405,1,33.774246,-118.071496
200,2013-10-08:07:56,Accident-no details,405,0,33.796979,-118.1078
200,2013-10-08:07:56,Accident-no details,405,0,33.780289,-118.090138
111,2013-10-08:07:58,Accident-no details,405,0,33.688561,-117.919298
125,2013-10-08:08:25,Accident-no details,405,0,33.690904,-117.92332
125,2013-10-08:08:25,Accident-ambulance rolling,405,0,33.690904,-117.92332
125,2013-10-08:08:25,Accident-ambulance rolling,405,0,33.698811,-117.942352
31,2013-10-08:08:27,Accident-ambulance rolling,405,0,33.696239,-117.936149
31,2013-10-08:08:27,Accident-no details,405,0,33.690904,-117.92332
140,2013-10-08:08:50,Hit and Run-no injuries,405,0,33.698811,-117.942352
140,2013-10-08:08:50,Hit and Run-no injuries,405,0,33.690904,-117.92332
142,2013-10-08:08:55,Accident-property damage,405,1,33.697598,-117.940103
115089,2013-10-08:08:58,Accident,405,1,34.173641,-118.467881
159,2013-10-08:09:23,Accident-no details,405,0,33.65497,-117.772868
41,2013-10-08:09:25,Accident-no details,405,0,33.65497,-117.772868
172,2013-10-08:09:50,Hit and Run-no injuries,405,1,33.776551,-118.08881
45,2013-10-08:09:55,Accident-no details,405,1,33.774271,-118.078171
